chapter_id,book_id,book_title,chapter_title,level,paragraphs,subcategory
CH_SHL_TIAOWEN_010,BOOK_SHL_TIAOWEN,傷寒論,辨陰陽易差後勞復病脈證並治,2,19,傷寒
CH_BC91F4420_001,BOOK_BC91F4420,傷寒論條辨,辨太陽病脈證並治上編第一,2,302,傷寒
CH_BC91F4420_002,BOOK_BC91F4420,傷寒論條辨,辨太陽病脈證並治中篇第二,2,255,傷寒
CH_BC91F4420_003,BOOK_BC91F4420,傷寒論條辨,辨太陽病脈證並治下編第三,2,178,傷寒
CH_BC91F4420_004,BOOK_BC91F4420,傷寒論條辨,辨陽明病脈證並治第四,2,245,傷寒
CH_BC91F4420_005,BOOK_BC91F4420,傷寒論條辨,辨少陽病脈證並治第五,2,25,傷寒
CH_BC91F4420_006,BOOK_BC91F4420,傷寒論條辨,辨太陰病脈證並治第六,2,29,傷寒
CH_BC91F4420_007,BOOK_BC91F4420,傷寒論條辨,辨少陰病脈證並治第七,2,166,傷寒
CH_BC91F4420_008,BOOK_BC91F4420,傷寒論條辨,辨厥陰病脈證並治第八,2,155,傷寒
CH_BC91F4420_009,BOOK_BC91F4420,傷寒論條辨,辨溫病風溫雜病脈證並治第九,2,72,傷寒
CH_BC91F4420_010,BOOK_BC91F4420,傷寒論條辨,辨霍亂病脈證並治第十,2,34,傷寒
CH_BC91F4420_011,BOOK_BC91F4420,傷寒論條辨,辨陰陽易瘥後勞復脈證並治第十一,2,31,傷寒
CH_BC91F4420_012,BOOK_BC91F4420,傷寒論條辨,辨痙濕病證第十二,2,46,傷寒
CH_BC91F4420_013,BOOK_BC91F4420,傷寒論條辨,辨脈法上編第十三,2,197,傷寒
CH_BC91F4420_014,BOOK_BC91F4420,傷寒論條辨,辨脈法下編第十四,2,125,傷寒
CH_BC91F4420_015,BOOK_BC91F4420,傷寒論條辨,辨不可發汗病脈證並治第十五,2,49,傷寒
CH_BC91F4420_016,BOOK_BC91F4420,傷寒論條辨,辨可發汗病脈證並治第十六,2,14,傷寒
CH_BC91F4420_017,BOOK_BC91F4420,傷寒論條辨,辨發汗後病脈證並治第十七,2,3,傷寒
CH_BC91F4420_018,BOOK_BC91F4420,傷寒論條辨,辨不可吐病脈證並治第十八,2,2,傷寒
CH_BC91F4420_019,BOOK_BC91F4420,傷寒論條辨,辨可吐病脈證並治第十九,2,12,傷寒
CH_BC91F4420_020,BOOK_BC91F4420,傷寒論條辨,辨不可下病脈證並治第二十,2,47,傷寒
CH_BC91F4420_021,BOOK_BC91F4420,傷寒論條辨,辨可下病脈證並治第二十一,2,23,傷寒
CH_BC91F4420_022,BOOK_BC91F4420,傷寒論條辨,辨發汗吐下後脈證並治第二十二,2,3,傷寒
CH_BC91F4420_023,BOOK_BC91F4420,傷寒論條辨,附廬山劉復真脈訣捷要,2,27,傷寒
CH_BC91F4420_024,BOOK_BC91F4420,傷寒論條辨,附嚴三點捷法,2,2,傷寒
CH_BC91F4420_025,BOOK_BC91F4420,傷寒論條辨,神聖功巧括,2,6,傷寒
CH_SHL_LUNZHU_001,BOOK_SHL_LUNZHU,傷寒論注,傷寒總論,2,32,傷寒
CH_SHL_LUNZHU_002,BOOK_SHL_LUNZHU,傷寒論注,太陽脈證,2,31,傷寒
CH_SHL_LUNZHU_003,BOOK_SHL_LUNZHU,傷寒論注,桂枝湯證上,2,64,傷寒
CH_SHL_LUNZHU_004,BOOK_SHL_LUNZHU,傷寒論注,桂枝湯證下,2,44,傷寒
CH_SHL_LUNZHU_005,BOOK_SHL_LUNZHU,傷寒論注,桂枝症附方,3,42,傷寒
CH_SHL_LUNZHU_006,BOOK_SHL_LUNZHU,傷寒論注,麻黃湯證上,2,44,傷寒
CH_SHL_LUNZHU_007,BOOK_SHL_LUNZHU,傷寒論注,麻黃湯證下,2,8,傷寒
CH_SHL_LUNZHU_008,BOOK_SHL_LUNZHU,傷寒論注,麻黃湯變症汗後虛症,3,29,傷寒
CH_SHL_LUNZHU_009,BOOK_SHL_LUNZHU,傷寒論注,葛根湯症,2,17,傷寒
CH_SHL_LUNZHU_010,BOOK_SHL_LUNZHU,傷寒論注,大青龍湯證,2,28,傷寒
CH_SHL_LUNZHU_011,BOOK_SHL_LUNZHU,傷寒論注,五苓散證,2,29,傷寒
CH_SHL_LUNZHU_012,BOOK_SHL_LUNZHU,傷寒論注,十棗湯證,2,6,傷寒
CH_SHL_LUNZHU_013,BOOK_SHL_LUNZHU,傷寒論注,陷胸湯證,2,33,傷寒
CH_SHL_LUNZHU_014,BOOK_SHL_LUNZHU,傷寒論注,瀉心湯症,2,43,傷寒
CH_SHL_LUNZHU_015,BOOK_SHL_LUNZHU,傷寒論注,抵當湯證,2,22,傷寒
CH_SHL_LUNZHU_016,BOOK_SHL_LUNZHU,傷寒論注,火逆諸證,2,27,傷寒
CH_SHL_LUNZHU_017,BOOK_SHL_LUNZHU,傷寒論注,痙濕暑證,2,47,傷寒
CH_SHL_LUNZHU_018,BOOK_SHL_LUNZHU,傷寒論注,陽明脈證上,2,87,傷寒
CH_SHL_LUNZHU_019,BOOK_SHL_LUNZHU,傷寒論注,陽明脈證下,2,30,傷寒
CH_SHL_LUNZHU_020,BOOK_SHL_LUNZHU,傷寒論注,梔子豉湯證,2,42,傷寒
CH_SHL_LUNZHU_021,BOOK_SHL_LUNZHU,傷寒論注,瓜蒂散證,2,18,傷寒
CH_SHL_LUNZHU_022,BOOK_SHL_LUNZHU,傷寒論注,白虎湯證,2,24,傷寒
CH_SHL_LUNZHU_023,BOOK_SHL_LUNZHU,傷寒論注,茵陳湯證,2,10,傷寒
CH_SHL_LUNZHU_024,BOOK_SHL_LUNZHU,傷寒論注,承氣湯證,2,80,傷寒
CH_SHL_LUNZHU_025,BOOK_SHL_LUNZHU,傷寒論注,少陽脈證,2,18,傷寒
CH_SHL_LUNZHU_026,BOOK_SHL_LUNZHU,傷寒論注,柴胡湯證,2,82,傷寒
CH_SHL_LUNZHU_027,BOOK_SHL_LUNZHU,傷寒論注,建中湯證,2,11,傷寒
CH_SHL_LUNZHU_028,BOOK_SHL_LUNZHU,傷寒論注,黃連湯證,2,7,傷寒
CH_SHL_LUNZHU_029,BOOK_SHL_LUNZHU,傷寒論注,黃芩湯證,2,7,傷寒
CH_SHL_LUNZHU_030,BOOK_SHL_LUNZHU,傷寒論注,太陰脈證,2,25,傷寒
CH_SHL_LUNZHU_031,BOOK_SHL_LUNZHU,傷寒論注,三白散證,2,10,傷寒
CH_SHL_LUNZHU_032,BOOK_SHL_LUNZHU,傷寒論注,少陰脈證,2,45,傷寒
CH_SHL_LUNZHU_033,BOOK_SHL_LUNZHU,傷寒論注,麻黃附子湯證,2,18,傷寒
CH_SHL_LUNZHU_034,BOOK_SHL_LUNZHU,傷寒論注,附子湯證,2,6,傷寒
CH_SHL_LUNZHU_035,BOOK_SHL_LUNZHU,傷寒論注,真武湯證,2,11,傷寒
CH_SHL_LUNZHU_036,BOOK_SHL_LUNZHU,傷寒論注,理中丸,3,3,傷寒
CH_SHL_LUNZHU_037,BOOK_SHL_LUNZHU,傷寒論注,桃花湯證,2,8,傷寒
CH_SHL_LUNZHU_038,BOOK_SHL_LUNZHU,傷寒論注,四逆湯證上,2,46,傷寒
CH_SHL_LUNZHU_039,BOOK_SHL_LUNZHU,傷寒論注,四逆湯證下,2,32,傷寒
CH_SHL_LUNZHU_040,BOOK_SHL_LUNZHU,傷寒論注,吳茱萸湯證,2,9,傷寒
CH_SHL_LUNZHU_041,BOOK_SHL_LUNZHU,傷寒論注,白通湯證,2,11,傷寒
CH_SHL_LUNZHU_042,BOOK_SHL_LUNZHU,傷寒論注,黃連阿膠湯證,2,7,傷寒
CH_SHL_LUNZHU_043,BOOK_SHL_LUNZHU,傷寒論注,豬苓湯證,2,10,傷寒
CH_SHL_LUNZHU_044,BOOK_SHL_LUNZHU,傷寒論注,豬膚湯證,2,5,傷寒
CH_SHL_LUNZHU_045,BOOK_SHL_LUNZHU,傷寒論注,附咽痛諸方,3,13,傷寒
CH_SHL_LUNZHU_046,BOOK_SHL_LUNZHU,傷寒論注,四逆散證,2,4,傷寒
CH_SHL_LUNZHU_047,BOOK_SHL_LUNZHU,傷寒論注,厥陰脈證,2,15,傷寒
CH_SHL_LUNZHU_048,BOOK_SHL_LUNZHU,傷寒論注,烏梅丸證,2,6,傷寒
CH_SHL_LUNZHU_049,BOOK_SHL_LUNZHU,傷寒論注,白頭翁湯證,2,19,傷寒
CH_SHL_LUNZHU_050,BOOK_SHL_LUNZHU,傷寒論注,熱厥利證,2,26,傷寒
